from,to,fromModule,toModule,FromSub-Model,ToSub-Model,Distance,Type1,Type2
AGFISHCATCH,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,242,1,1
LVHERD,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Resources,Agriculture: Losses,4,1,1
slr,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,4,2,1
AGPMILKEGGS,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,245,1,1
AGP,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,247,1,1
YL,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,3,1,1
LD,AGLOSSPROD,Agriculture,Agriculture,Agriculture: Resources,Agriculture: Losses,3,1,1
AGDEM,AGLOSSTRANS,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Losses,5,1,1
FSTOCK,AGLOSSTRANS,Agriculture,Agriculture,Agriculture: Stocks,Agriculture: Losses,7,1,1
AGP,AGLOSSTRANS,Agriculture,Agriculture,Agriculture: Production,Agriculture: Losses,22,1,1
AGX,AGLOSSTRANS,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Losses,21,1,1
AGM,AGLOSSTRANS,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Losses,21,1,1
FDEM,AGLOSSTRANS,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Losses,0,1,1
aglosstransm,AGLOSSTRANS,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Losses,0,2,1
GDPPCP,AGLOSSTRANS,Economy,Agriculture,Agriculture: GDP,Agriculture: Losses,1,1,1
AGX,AGM,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Trade,17,1,1
AGDEM,AGM,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Trade,4,1,1
AGP,AGM,Agriculture,Agriculture,Agriculture: Production,Agriculture: Trade,15,1,1
FSTOCK,AGM,Agriculture,Agriculture,Agriculture: Stocks,Agriculture: Trade,235,1,1
dstl,AGM,Economy,Agriculture,Agriculture: Stocks,Agriculture: Trade,357,2,1
elfdpr1,AGM,Agriculture,Agriculture,Agriculture: Production,Agriculture: Trade,132,2,1
elfdpr2,AGM,Agriculture,Agriculture,Agriculture: Production,Agriculture: Trade,132,2,1
AGXVALUE,AGMVALUE,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Trade,5,1,1
AGM,AGMVALUE,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Trade,0,1,1
WAP,AGMVALUE,Agriculture,Agriculture,Agriculture: Investment,Agriculture: Trade,321,1,1
AGFISHCATCH,AGP,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,0,1,1
AQUACUL,AGP,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,0,1,1
AGLOSSPROD,AGP,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Production,0,1,1
LVHERD,AGP,Agriculture,Agriculture,Agriculture: Resources,Agriculture: Production,5,1,1
slr,AGP,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,5,2,1
AGPMILKEGGS,AGP,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,246,1,1
aglossprodm,AGP,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Production,249,2,1
YL,AGP,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,4,1,1
LD,AGP,Agriculture,Agriculture,Agriculture: Resources,Agriculture: Production,4,1,1
aglossprodm,AGPMILKEGGS,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Production,3,2,1
LVHERD,AGPMILKEGGS,Agriculture,Agriculture,Agriculture: Resources,Agriculture: Production,6,1,1
slr,AGPMILKEGGS,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,6,2,1
AGP,AGPMILKEGGS,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,249,1,1
AGM,AGX,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Trade,15,1,1
AGDEM,AGX,Agriculture,Agriculture,Agriculture: Demand,Agriculture: Trade,3,1,1
AGP,AGX,Agriculture,Agriculture,Agriculture: Production,Agriculture: Trade,14,1,1
FSTOCK,AGX,Agriculture,Agriculture,Agriculture: Stocks,Agriculture: Trade,234,1,1
dstl,AGX,Economy,Agriculture,Agriculture: Stocks,Agriculture: Trade,356,2,1
elfdpr1,AGX,Agriculture,Agriculture,Agriculture: Production,Agriculture: Trade,129,2,1
elfdpr2,AGX,Agriculture,Agriculture,Agriculture: Production,Agriculture: Trade,129,2,1
AGMVALUE,AGXVALUE,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Trade,7,1,1
AGX,AGXVALUE,Agriculture,Agriculture,Agriculture: Trade,Agriculture: Trade,0,1,1
WAP,AGXVALUE,Agriculture,Agriculture,Agriculture: Investment,Agriculture: Trade,322,1,1
aiddon,AID,Sociopolitical,Sociopolitical,Sociopolitical: AID,Sociopolitical: AID,0,2,1
GDP,AID,Economy,Sociopolitical,Sociopolitical: GDP,Sociopolitical: AID,0,1,1
aidrecm,AID,Sociopolitical,Sociopolitical,Sociopolitical: AID,Sociopolitical: AID,3,2,1
aidgradpoint,AID,Sociopolitical,Sociopolitical,Sociopolitical: AID,Sociopolitical: AID,4,2,1
GDPPCP,AID,Economy,Sociopolitical,Sociopolitical: GDP,Sociopolitical: AID,4,1,1
AIDREC,AID,Sociopolitical,Sociopolitical,Sociopolitical: AID,Sociopolitical: AID,6,1,1
aidlpm,aidlp,Sociopolitical,Sociopolitical,Sociopolitical: AID,Sociopolitical: AID,0,2,2
AIDSDTHS,AIDSDRATE,Demography,Demography,Demography: HIV/AIDS,Demography: HIV/AIDS,0,1,1
POP,AIDSDRATE,Demography,Demography,Demography: Population,Demography: HIV/AIDS,0,1,1
hlmodelsw,AIDSDRATE,Health,Demography,Demography: Mortality,Demography: HIV/AIDS,0,2,1
I,AIDSDRATE,Economy,Demography,Demography: Investment,Demography: HIV/AIDS,1928,1,1
DEATHS,AIDSDRATE,Demography,Demography,Demography: Mortality,Demography: HIV/AIDS,1928,1,1
migrateinm,AIDSDRATE,Demography,Demography,Demography: Migration,Demography: HIV/AIDS,1994,2,1
migratebalancesw,AIDSDRATE,Demography,Demography,Demography: Migration,Demography: HIV/AIDS,1956,2,1
contiguity,AIDSDRATE,Interstate,Demography,Demography: Alliances,Demography: HIV/AIDS,2024,2,1
migrateoutm,AIDSDRATE,Demography,Demography,Demography: Migration,Demography: HIV/AIDS,1995,2,1
MIGRANTS,AIDSDRATE,Demography,Demography,Demography: Migration,Demography: HIV/AIDS,1968,1,1
POP15TO65,AIDSDRATE,Demography,Demography,Demography: Population,Demography: HIV/AIDS,1968,1,1
POPFOREIGNIN,AIDSDRATE,Demography,Demography,Demography: Population,Demography: HIV/AIDS,1968,1,1
HIVRATE,AIDSDRATE,Demography,Demography,Demography: HIV/AIDS,Demography: HIV/AIDS,0,1,1
aidsdratem,AIDSDRATE,Demography,Demography,Demography: HIV/AIDS,Demography: HIV/AIDS,0,2,1
aidsdrtadvr,AIDSDRATE,Demography,Demography,Demography: HIV/AIDS,Demography: HIV/AIDS,0,2,1
DEATHCAT,AIDSDTHS,Health,Demography,Demography: Mortality,Demography: HIV/AIDS,0,1,1
POP,AIDSDTHS,Demography,Demography,Demography: Population,Demography: HIV/AIDS,0,1,1
DEATHS,AIDSDTHS,Demography,Demography,Demography: Mortality,Demography: HIV/AIDS,126,1,1
EDYRSAG25,AIDSDTHS,Education,Demography,Demography: Years of Education,Demography: HIV/AIDS,550,1,1
GOVCORRUPT,AIDSDTHS,Sociopolitical,Demography,Demography: Corruption,Demography: HIV/AIDS,550,1,1
SFINTLWARMAG,AIDSDTHS,Sociopolitical,Demography,Demography: State failure,Demography: HIV/AIDS,550,1,1
hlmortcdadltm,AIDSDTHS,Health,Demography,Demography: Mortality,Demography: HIV/AIDS,140,2,1
svtohlsw,AIDSDTHS,Sociopolitical,Demography,Demography: Violence,Demography: HIV/AIDS,140,2,1
AIDSDRATE,AIDSDTHS,Demography,Demography,Demography: HIV/AIDS,Demography: HIV/AIDS,0,1,1
AIDSDTHS,AIDSDTHSCM,Demography,Demography,Demography: HIV/AIDS,Demography: HIV/AIDS,0,1,1
aquaculm,AQUACUL,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,5,2,1
aquaculgr,AQUACUL,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,6,2,1
aquaculconv,AQUACUL,Agriculture,Agriculture,Agriculture: Production,Agriculture: Production,6,2,1
aglossprodm,AQUACUL,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Production,2,2,1
GDPPCP,AQUACUL,Economy,Agriculture,Agriculture: GDP,Agriculture: Production,4,1,1
WATUSE,ASAGDP,Water,Environment,Environment: Use,Environment: Advanced Sustainability Analysis,0,1,1
GDP,ASAGDP,Economy,Environment,Environment: GDP,Environment: Advanced Sustainability Analysis,0,1,1
LD,ASAGDP,Agriculture,Environment,Environment: Resources,Environment: Advanced Sustainability Analysis,11,1,1
CARANN,ASAGDP,Environment,Environment,Environment: Carbon Emissions,Environment: Advanced Sustainability Analysis,0,1,1
ENP,ASAGDP,Energy,Environment,Environment: Production,Environment: Advanced Sustainability Analysis,23,1,1
GDP,ASAGDPCUMCHG,Economy,Environment,Environment: GDP,Environment: Advanced Sustainability Analysis,0,1,1
ASAGDP,ASAGDPDMAT,Environment,Environment,Environment: Advanced Sustainability Analysis,Environment: Advanced Sustainability Analysis,0,1,1
ASAGDP,ASAGDPGRRB,Environment,Environment,Environment: Advanced Sustainability Analysis,Environment: Advanced Sustainability Analysis,0,1,1
GDP,ASAGDPGRRB,Economy,Environment,Environment: GDP,Environment: Advanced Sustainability Analysis,0,1,1
WATUSE,ASALAB,Water,Environment,Environment: Use,Environment: Advanced Sustainability Analysis,0,1,1
LAB,ASALAB,Economy,Environment,Environment: Productivity,Environment: Advanced Sustainability Analysis,0,1,1
LD,ASALAB,Agriculture,Environment,Environment: Resources,Environment: Advanced Sustainability Analysis,13,1,1
CARANN,ASALAB,Environment,Environment,Environment: Carbon Emissions,Environment: Advanced Sustainability Analysis,0,1,1
ENP,ASALAB,Energy,Environment,Environment: Production,Environment: Advanced Sustainability Analysis,25,1,1
LAB,ASALABCUMCHG,Economy,Environment,Environment: Productivity,Environment: Advanced Sustainability Analysis,0,1,1
ASALAB,ASALABDMAT,Environment,Environment,Environment: Advanced Sustainability Analysis,Environment: Advanced Sustainability Analysis,0,1,1
ASALAB,ASALABGRRB,Environment,Environment,Environment: Advanced Sustainability Analysis,Environment: Advanced Sustainability Analysis,0,1,1
LAB,ASALABGRRB,Economy,Environment,Environment: Productivity,Environment: Advanced Sustainability Analysis,0,1,1
WATUSE,ASAPOP,Water,Environment,Environment: Use,Environment: Advanced Sustainability Analysis,0,1,1
POP,ASAPOP,Demography,Environment,Environment: Population,Environment: Advanced Sustainability Analysis,0,1,1
LD,ASAPOP,Agriculture,Environment,Environment: Resources,Environment: Advanced Sustainability Analysis,12,1,1
CARANN,ASAPOP,Environment,Environment,Environment: Carbon Emissions,Environment: Advanced Sustainability Analysis,0,1,1
ENP,ASAPOP,Energy,Environment,Environment: Production,Environment: Advanced Sustainability Analysis,24,1,1
POP,ASAPOPCUMCHG,Demography,Environment,Environment: Population,Environment: Advanced Sustainability Analysis,0,1,1
ASAPOP,ASAPOPDMAT,Environment,Environment,Environment: Advanced Sustainability Analysis,Environment: Advanced Sustainability Analysis,0,1,1
ASAPOP,ASAPOPGRRB,Environment,Environment,Environment: Advanced Sustainability Analysis,Environment: Advanced Sustainability Analysis,0,1,1
POP,ASAPOPGRRB,Demography,Environment,Environment: Population,Environment: Advanced Sustainability Analysis,0,1,1
WATUSE,ASARAW,Water,Environment,Environment: Use,Environment: Advanced Sustainability Analysis,0,1,1
LD,ASARAW,Agriculture,Environment,Environment: Resources,Environment: Advanced Sustainability Analysis,10,1,1
CARANN,ASARAW,Environment,Environment,Environment: Carbon Emissions,Environment: Advanced Sustainability Analysis,0,1,1
ENP,ASARAW,Energy,Environment,Environment: Production,Environment: Advanced Sustainability Analysis,22,1,1
ASARAW,ASARAWDMAT,Environment,Environment,Environment: Advanced Sustainability Analysis,Environment: Advanced Sustainability Analysis,0,1,1
POP,BIRTHS,Demography,Demography,Demography: Population,Demography: Births and fertility,0,1,1
TFR,BIRTHS,Demography,Demography,Demography: Births and Fertility,Demography: Births and fertility,1,1,1
hltfrpeaklevel,BIRTHS,Demography,Demography,Demography: Birth and Fertility,Demography: Births and fertility,16,2,1
hltfragepeak,BIRTHS,Demography,Demography,Demography: Birth and Fertility,Demography: Births and fertility,17,2,1
hltfragestop,BIRTHS,Demography,Demography,Demography: Birth and Fertility,Demography: Births and fertility,18,2,1
hltfragehalflife,BIRTHS,Demography,Demography,Demography: Birth and Fertility,Demography: Births and fertility,15,2,1
hltfrageinit,BIRTHS,Demography,Demography,Demography: Birth and Fertility,Demography: Births and fertility,19,2,1
HLSMOKING,C,Health,Economy,Economy: Smoking,Economy: consumption,4,1,1
hlsmokingceiling,C,Health,Economy,Economy: Smoking,Economy: consumption,4,2,1
I,C,Economy,Economy,Economy: Investment,Economy: consumption,837,1,1
DEATHS,C,Demography,Economy,Economy: Mortality,Economy: consumption,837,1,1
POP,C,Demography,Economy,Economy: Population,Economy: consumption,837,1,1
migrateinm,C,Demography,Economy,Economy: Migration,Economy: consumption,903,2,1
migratebalancesw,C,Demography,Economy,Economy: Migration,Economy: consumption,865,2,1
contiguity,C,Interstate,Economy,Economy: Alliances,Economy: consumption,933,2,1
migrateoutm,C,Demography,Economy,Economy: Migration,Economy: consumption,904,2,1
MIGRANTS,C,Demography,Economy,Economy: Migration,Economy: consumption,877,1,1
POP15TO65,C,Demography,Economy,Economy: Population,Economy: consumption,877,1,1
POPFOREIGNIN,C,Demography,Economy,Economy: Population,Economy: consumption,877,1,1
IGCF,C,Economy,Economy,Economy: Investment,Economy: consumption,2,1,1
CS,C,Economy,Economy,Economy: consumption,Economy: consumption,6,1,1
GDPRPA,C,Economy,Economy,Economy: GDP,Economy: consumption,154,1,1
elasit,C,Economy,Economy,Economy: Elasticities,Economy: consumption,154,2,1
CSHHS,C,Economy,Economy,Economy: consumption,Economy: consumption,11,1,1
CSHHU,C,Economy,Economy,Economy: consumption,Economy: consumption,18,1,1
VADD,C,Economy,Economy,Economy: Value Added,Economy: consumption,1328,1,1
WP,C,Economy,Economy,Economy: Prices,Economy: consumption,1328,1,1
GDP,C,Economy,Economy,Economy: GDP,Economy: consumption,1634,1,1
enon,C,Energy,Economy,Economy: Demand,Economy: consumption,12,2,1
agon,C,Agriculture,Economy,Economy: Investment,Economy: consumption,13,2,1
GDPPCP,C,Economy,Economy,Economy: GDP,Economy: consumption,87,1,1
igdpr,C,Economy,Economy,Economy: GDP,Economy: consumption,97,2,1
HHPOP,C,Demography,Economy,Economy: Population,Economy: consumption,99,1,1
HHINC,C,Economy,Economy,Economy: Incomes,Economy: consumption,326,1,1
HHTAX,C,Economy,Economy,Economy: Taxation,Economy: consumption,326,1,1
HHGOVSS,C,Economy,Economy,Economy: Payments,Economy: consumption,326,1,1
invm,C,Economy,Economy,Economy: Investment,Economy: consumption,2,2,1
LIFEXP,C,Demography,Economy,Economy: Health,Economy: consumption,6,1,1
INTR,C,Economy,Economy,Economy: Incomes,Economy: consumption,299,1,1
ST,C,Economy,Economy,Economy: Stocks,Economy: consumption,1073,1,1
dstl,C,Economy,Economy,Economy: Stocks,Economy: consumption,1073,2,1
GDPPOT,C,Economy,Economy,Economy: GDP,Economy: consumption,1166,1,1
ZS,C,Economy,Economy,Economy: Production,Economy: consumption,1238,1,1
MS,C,Economy,Economy,Economy: Trade,Economy: consumption,1408,1,1
POPPREWORK,C,Demography,Economy,Economy: Population,Economy: consumption,8,1,1
workageentry,C,Demography,Economy,Economy: Population,Economy: consumption,19,2,1
POPWORKING,C,Demography,Economy,Economy: Population,Economy: consumption,7,1,1
cpctnduse,C,Economy,Economy,Economy: consumption,Economy: consumption,9,2,1
POPRETIRED,C,Demography,Economy,Economy: Population,Economy: consumption,6,1,1
workageretire,C,Demography,Economy,Economy: Population,Economy: consumption,17,2,1
savingsdiscountrt,C,Infrastructure,Economy,Economy: Water and Sanitation,Economy: consumption,13,2,1
WORKAGERETIREND,C,Demography,Economy,Economy: Population,Economy: consumption,14,1,1
GOVHHPENT,C,Economy,Economy,Economy: Government Finance,Economy: consumption,5,1,1
CRA,C,Economy,Economy,Economy: consumption,Economy: consumption,228,1,1
caputtar,CAPUT,Economy,Economy,Economy: Economic Productivity,Economy: Economic Productivity,0,2,1
elaszs,CAPUT,Economy,Economy,Economy: Elasticities,Economy: Economic Productivity,0,2,1
dstl,CAPUT,Economy,Economy,Economy: Stocks,Economy: Economic Productivity,1,2,1
GDPPOT,CAPUT,Economy,Economy,Economy: GDP,Economy: Economic Productivity,3,1,1
ST,CAPUT,Economy,Economy,Economy: Stocks,Economy: Economic Productivity,2,1,1
igdpr,CAPUT,Economy,Economy,Economy: GDP,Economy: Economic Productivity,2,2,1
ZS,CAPUT,Economy,Economy,Economy: Production,Economy: Economic Productivity,8,1,1
MS,CAPUT,Economy,Economy,Economy: Trade,Economy: Economic Productivity,178,1,1
GDP,CAPUT,Economy,Economy,Economy: GDP,Economy: Economic Productivity,197,1,1
ENP,CARANN,Energy,Environment,Environment: Production,Environment: Carbon Emissions,26,1,1
carfuel1,CARANN,Environment,Environment,Environment: Carbon Emissions,Environment: Carbon Emissions,26,2,1
carfuel2,CARANN,Environment,Environment,Environment: Carbon Emissions,Environment: Carbon Emissions,26,2,1
carfuel3,CARANN,Environment,Environment,Environment: Carbon Emissions,Environment: Carbon Emissions,26,2,1
carannwi,CARANN,Environment,Environment,Environment: Carbon Emissions,Environment: Carbon Emissions,75,1,1
ENDEM,CARANN,Energy,Environment,Environment: Demand,Environment: Carbon Emissions,6,1,1
carforst,CARFOROTH,Environment,Environment,Environment: Carbon Emissions,Environment: Carbon Emissions,0,2,1
LD,CARFOROTH,Agriculture,Environment,Environment: Resources,Environment: Carbon Emissions,51,1,1
CARSTOT,CARS,Infrastructure,Infrastructure,Infrastructure: Automobiles,Infrastructure: Automobiles,0,1,1
carsm,CARS,Infrastructure,Infrastructure,Infrastructure: Automobiles,Infrastructure: Automobiles,0,2,1
carsconv,CARS,Infrastructure,Infrastructure,Infrastructure: Automobiles,Infrastructure: Automobiles,1,2,1
POP,CARS,Demography,Infrastructure,Infrastructure: Population,Infrastructure: Automobiles,6,1,1
CARSTOT,CARSALPC,Infrastructure,Infrastructure,Infrastructure: Automobiles,Infrastructure: Automobiles,0,1,1
POP,CARSALPC,Demography,Infrastructure,Infrastructure: Population,Infrastructure: Automobiles,0,1,1
carstotm,CARSTOT,Infrastructure,Infrastructure,Infrastructure: Automobiles,Infrastructure: Automobiles,0,2,1
carsconv,CARSTOT,Infrastructure,Infrastructure,Infrastructure: Automobiles,Infrastructure: Automobiles,0,2,1
GDP,CARSTOT,Economy,Infrastructure,Infrastructure: GDP,Infrastructure: Automobiles,4,1,1
GDPPCP,CARSTOT,Economy,Infrastructure,Infrastructure: GDP,Infrastructure: Automobiles,6,1,1
TRADSRAT,CARSTOT,Sociopolitical,Infrastructure,Infrastructure: Human Development,Infrastructure: Automobiles,6,1,1
POP,CARSTOT,Demography,Infrastructure,Infrastructure: Population,Infrastructure: Automobiles,0,1,1
SURVSE,CARSTOT,Sociopolitical,Infrastructure,Infrastructure: Survival,Infrastructure: Automobiles,2,1,1
BIRTHS,CBR,Demography,Demography,Demography: Births and fertility,Demography: Births and fertility,0,1,1
POP,CBR,Demography,Demography,Demography: Population,Demography: Births and fertility,0,1,1
ifsexomodelid,CBR,Other,Demography,Demography: Other switches,Demography: Births and fertility,32,2,1
TFR,CBR,Demography,Demography,Demography: Births and Fertility,Demography: Births and fertility,5,1,1
igdpr,CDALF,Economy,Economy,Economy: GDP,Economy: Economic Productivity,2,2,1
POP,CDALF,Demography,Economy,Economy: Population,Economy: Economic Productivity,2,1,1
GDP,CDALF,Economy,Economy,Economy: GDP,Economy: Economic Productivity,315,1,1
PPPCONV,CDALF,Economy,Economy,Economy: GDP,Economy: Economic Productivity,315,1,1
GDPPCP,CDALF,Economy,Economy,Economy: GDP,Economy: Economic Productivity,0,1,1
DEATHS,CDR,Demography,Demography,Demography: Mortality,Demography: Mortality,0,1,1
POP,CDR,Demography,Demography,Demography: Population,Demography: Mortality,0,1,1
LIFEXP,CDR,Demography,Demography,Demography: Health,Demography: Mortality,6,1,1
CBR,CDR,Demography,Demography,Demography: Births and fertility,Demography: Mortality,3,1,1
POP,CHILDDTHR,Demography,Health,Demography: Population,Demography: Mortality,0,1,1
tmortr2,CHILDDTHR,Health,Health,Demography: Mortality,Demography: Mortality,1382,2,1
POP,CHLMOR,Demography,Health,Demography: Population,Demography: Mortality,0,1,1
DEATHS,CHLMOR,Demography,Health,Demography: Mortality,Demography: Mortality,40,1,1
EDYRSAG25,CHLMOR,Education,Health,Demography: Years of Education,Demography: Mortality,464,1,1
GOVCORRUPT,CHLMOR,Sociopolitical,Health,Demography: Corruption,Demography: Mortality,464,1,1
SFINTLWARMAG,CHLMOR,Sociopolitical,Health,Demography: State failure,Demography: Mortality,464,1,1
hlmortcdadltm,CHLMOR,Health,Health,Demography: Mortality,Demography: Mortality,54,2,1
svtohlsw,CHLMOR,Sociopolitical,Health,Demography: Violence,Demography: Mortality,54,2,1
hlmortcdchldm,CHLMOR,Health,Health,Demography: Mortality,Demography: Mortality,56,2,1
I,CHLMOR,Economy,Health,Demography: Investment,Demography: Mortality,1807,1,1
NPOW,CIVDM,Interstate,Interstate,Interstate: Power,Interstate: Wars,1,1,1
nwarsv,CIVDM,Interstate,Interstate,Interstate: Wars,Interstate: Wars,1,2,1
elndpow,CIVDM,Interstate,Interstate,Interstate: Power,Interstate: Wars,1,2,1
GDP,CIVDM,Economy,Interstate,Interstate: GDP,Interstate: Wars,0,1,1
cdmf,CIVDM,Interstate,Interstate,Interstate: Wars,Interstate: Wars,0,2,1
cwarsv,CIVDM,Interstate,Interstate,Interstate: Wars,Interstate: Wars,1,2,1
CPOW,CIVDM,Interstate,Interstate,Interstate: Power,Interstate: Wars,1,1,1
CLPC,CLAVAL,Agriculture,Agriculture,Agriculture: Nutrition,Agriculture: Nutrition,0,1,1
POP,CLAVAL,Demography,Agriculture,Agriculture: Population,Agriculture: Nutrition,0,1,1
IDS,CLD,Economy,Agriculture,Agriculture: Investment,Agriculture: Nutrition,0,1,1
IALK,CLD,Agriculture,Agriculture,Agriculture: Investment,Agriculture: Nutrition,0,2,1
LD,CLD,Agriculture,Agriculture,Agriculture: Resources,Agriculture: Nutrition,0,1,1
dkl,CLD,Agriculture,Agriculture,Agriculture: Investment,Agriculture: Nutrition,0,2,1
tgrld,CLD,Agriculture,Agriculture,Agriculture: Production,Agriculture: Nutrition,0,1,1
GDPPCP,CLD,Economy,Agriculture,Agriculture: GDP,Agriculture: Nutrition,0,1,1
landarablepot,CLD,Agriculture,Agriculture,Agriculture: Resources,Agriculture: Nutrition,4,2,1
climeconimplin,CLIMECONIMP,Environment,Environment,Environment: Impact on Economy,Environment: Impact on Economy,0,2,1
WTEMP,CLIMECONIMP,Environment,Environment,Environment: Climate change,Environment: Impact on Economy,0,1,1
climeconimpsq,CLIMECONIMP,Environment,Environment,Environment: Impact on Economy,Environment: Impact on Economy,0,2,1
POP,CLNEED,Demography,Demography,Demography: Population,Demography: Nutrition,0,1,1
clnf,CLNEED,Demography,Demography,Demography: Nutrition,Demography: Nutrition,0,2,1
ifsexomodelid,CLNEED,Other,Demography,Demography: Other switches,Demography: Nutrition,0,2,1
I,CLNEED,Economy,Demography,Demography: Investment,Demography: Nutrition,243,1,1
DEATHS,CLNEED,Demography,Demography,Demography: Mortality,Demography: Nutrition,243,1,1
migrateinm,CLNEED,Demography,Demography,Demography: Migration,Demography: Nutrition,309,2,1
migratebalancesw,CLNEED,Demography,Demography,Demography: Migration,Demography: Nutrition,271,2,1
contiguity,CLNEED,Interstate,Demography,Demography: Alliances,Demography: Nutrition,339,2,1
migrateoutm,CLNEED,Demography,Demography,Demography: Migration,Demography: Nutrition,310,2,1
MIGRANTS,CLNEED,Demography,Demography,Demography: Migration,Demography: Nutrition,283,1,1
POP15TO65,CLNEED,Demography,Demography,Demography: Population,Demography: Nutrition,283,1,1
POPFOREIGNIN,CLNEED,Demography,Demography,Demography: Population,Demography: Nutrition,283,1,1
CLAVAL,CLPC,Agriculture,Agriculture,Agriculture: Nutrition,Agriculture: Nutrition,0,1,1
POP,CLPC,Demography,Agriculture,Agriculture: Population,Agriculture: Nutrition,0,1,1
GRAMSPC,CLPC,Agriculture,Agriculture,Agriculture: Nutrition,Agriculture: Nutrition,0,1,1
aglossconsm,CLPC,Agriculture,Agriculture,Agriculture: Losses,Agriculture: Nutrition,3,2,1
GDPPCP,CLPC,Economy,Agriculture,Agriculture: GDP,Agriculture: Nutrition,4,1,1
clpcm,CLPC,Agriculture,Agriculture,Agriculture: Nutrition,Agriculture: Nutrition,0,2,1
malelimprecisesw,CLPC,Agriculture,Agriculture,Agriculture: Nutrition,Agriculture: Nutrition,3,2,1
HHINC,CLPC,Economy,Agriculture,Agriculture: Incomes,Agriculture: Nutrition,12,1,1
malnelimtargetyr,CLPC,Agriculture,Agriculture,Agriculture: Nutrition,Agriculture: Nutrition,11,2,1
