NAME,VARID,ModuleNo,Module,SubModel,TYPE,TYPE NAME,ID2,Color,
CARS,59,7,Infrastructure,Infrastructure: Automobiles,1,Variable,"CARS:  Car sales, annual",Brown,
CARSALPC,60,7,Infrastructure,Infrastructure: Automobiles,1,Variable,CARSALPC:  Car sales per capita per year,Brown,
carsconv,61,7,Infrastructure,Infrastructure: Automobiles,2,Parameter,"carsconv:  Car sales, convergence time to functions",Brown,
carsm,62,7,Infrastructure,Infrastructure: Automobiles,2,Parameter,"carsm:  Car sales, multiplier by type",Brown,
CARSTOT,63,7,Infrastructure,Infrastructure: Automobiles,1,Variable,"CARSTOT:  Car sales, total all categories",Brown,
carstotm,64,7,Infrastructure,Infrastructure: Automobiles,2,Parameter,"carstotm:  Car sales, total multiplier",Brown,
CBR,65,2,Demography,Demography: Births and fertility,1,Variable,CBR:  Crude birthrate,Blue,
CDALF,66,3,Economy,Economy: Economic Productivity,1,Variable,CDALF:  Cobb-Douglas alpha,Green,
cdmf,67,8,Interstate,Interstate: Wars,2,Parameter,cdmf:  Civilian damage factor in war; portion of economy,Azure,
CDR,68,2,Demography,Demography: Mortality,1,Variable,CDR:  Crude death rate,Blue,
CHILDDTHR,1376,2,Health,Health: Mortality,1,Variable,CHILDDTHR:  Rate of dying during childhood (under 5 years of age),Purple,
CHLMOR,1372,2,Health,Health: Mortality,1,Variable,"CHLMOR:  Children under 5 mortality rate per 1,000 live births",Purple,
CIVDM,69,8,Interstate,Interstate: Wars,1,Variable,CIVDM:  Civilian damage from war;mult for pop & capital stock,Azure,
CLAVAL,70,1,Agriculture,Agriculture: Nutrition,1,Variable,CLAVAL:  Calories available,Red,
CLD,71,1,Agriculture,Agriculture: Nutrition,1,Variable,CLD:  Cost of land development,Red,
CLIMECONIMP,1363,6,Environment,Environment: Impact on Economy,1,Variable,CLIMECONIMP:  Climiate change to economy impact,Grey,
climeconimplin,1361,6,Environment,Environment: Impact on Economy,2,Parameter,"climeconimplin:  Climate change to economy impact, linear term coefficient",Grey,
climeconimpsq,1362,6,Environment,Environment: Impact on Economy,2,Parameter,"climeconimpsq:  Climate change to economy impact, squared term coefficient",Grey,
climeconimpstk,1373,6,Environment,Environment: Impact on Economy,2,Parameter,"climeconimpstk:  Climate chnge to econ impact, portion affecting  productivity or capital stocks",Grey,
climeconimpsw,1360,6,Environment,Environment: Impact on Economy,2,Parameter,climeconimpsw:  Climate change to economy impact switch (1=on),Grey,
CLNEED,72,2,Demography,Demography: Nutrition,1,Variable,CLNEED:  Calories needed,Blue,
clnf,73,2,Demography,Demography: Nutrition,2,Parameter,"clnf:  Calorie needs adjustment, for age distribution",Blue,
CLPC,74,1,Agriculture,Agriculture: Nutrition,1,Variable,CLPC:  Calories per capita available,Red,
clpcm,4,1,Agriculture,Agriculture: Nutrition,2,Parameter,clpcm:  Per capita calorie demand multiplier,Red,
clsexp,75,2,Demography,Demography: Nutrition,2,Parameter,"clsexp:  Calorie shortage link to starvation, exponent (higher value lowers starvation)",Blue,
CO2PER,76,6,Environment,Environment: Carbon Emissions,1,Variable,"CO2PER:  CO2, percentage increase in atmosphere, pre-industrial base",Grey,
CO2PPM,77,6,Environment,Environment: Carbon Emissions,1,Variable,"CO2PPM:  CO2, parts per million in atmosphere",Grey,
co2prein,78,6,Environment,Environment: Carbon Emissions,2,Parameter,"co2prein:  CO2, parts per million in atmosphere, pre-industrial base",Grey,
confforsw,79,9,Sociopolitical,Sociopolitical: Conflict,2,Parameter,"confforsw:  Conflict forward linkage switch (1=On, 0=Off)",drakgray,
contiguity,80,8,Interstate,Interstate: Alliances,2,Parameter,contiguity:  Contiguity (geographic proximity) of countries/regions,Azure,
CONTRUSE,81,2,Demography,Demography: Demography,1,Variable,"CONTRUSE:  Contraception use, percent of fertile women",Blue,
contrusm,82,2,Demography,Demography: Demography,2,Parameter,contrusm:  Contraception use multiplier,Blue,
CPCTND,83,3,Economy,Economy: consumption,1,Variable,CPCTND:  Consumption percent needed among workers to match retirement age and Life Expectancy,Green,
cpctnduse,84,3,Economy,Economy: consumption,2,Parameter,cpctnduse:  Percent used of needed consumption,Green,
CPOW,85,8,Interstate,Interstate: Power,1,Variable,CPOW:  Conventional military power,Azure,
cpowdf,86,8,Interstate,Interstate: Power,2,Parameter,"cpowdf:  Conventional power, damage done by war",Azure,
cpowf,87,8,Interstate,Interstate: Power,1,Variable,"cpowf:  Conventional power, factor controlling conversion of military spending",Azure,
cpowldcf,88,8,Interstate,Interstate: Power,2,Parameter,"cpowldcf:  Conventional power, higher impact of mil spending in LDCs",Azure,
CPREWORK,89,3,Economy,Economy: consumption,1,Variable,CPREWORK:  Private consumption of population before work entry age,Green,
CRA,90,3,Economy,Economy: consumption,1,Variable,CRA:  Consumption (household) ratio to household income,Green,
CRETIRE,91,3,Economy,Economy: consumption,1,Variable,CRETIRE:  Private consumption of population in retirement years,Green,
CS,92,3,Economy,Economy: consumption,1,Variable,CS:  Consumption (household) by sector,Green,
CSHHS,93,3,Economy,Economy: consumption,1,Variable,CSHHS:  Consumption (household) in sectors by skilled households,Green,
CSHHU,94,3,Economy,Economy: consumption,1,Variable,CSHHU:  Consumption (household) in sectors by unskilled households,Green,
CULTREG,95,9,Sociopolitical,Sociopolitical: Culture,1,Variable,CULTREG:  Cultural region,drakgray,
cultshmp,96,9,Sociopolitical,Sociopolitical: Culture,2,Parameter,cultshmp:  Cultural region shift on materialism/postmaterialism,drakgray,
cultshse,97,9,Sociopolitical,Sociopolitical: Culture,2,Parameter,cultshse:  Cultural region shift on survival/self-expression,drakgray,
cultshts,99,9,Sociopolitical,Sociopolitical: Culture,2,Parameter,cultshts:  Cultural region shift on traditional/secular-rational,drakgray,
CURACT,101,3,Economy,Economy: consumption,1,Variable,CURACT:  Current account,Green,
CWAR,102,8,Interstate,Interstate: Wars,1,Variable,CWAR:  Conventional war (0=no;1=yes),Azure,
cwarbase,103,8,Interstate,Interstate: Wars,2,Parameter,"cwarbase:  Conventional war, base probability (percentage terms, 0-100)",Azure,
CWARPB,105,8,Interstate,Interstate: Wars,1,Variable,"CWARPB:  Conventional war probability (percentage terms, 0-100)",Azure,
cwarsv,106,8,Interstate,Interstate: Wars,2,Parameter,cwarsv:  Conventional war severity; portion of weaponry used,Azure,
CWORKING,107,3,Economy,Economy: consumption,1,Variable,CWORKING:  Private consumption of population in working years,Green,
DEATHS,109,2,Demography,Demography: Mortality,1,Variable,DEATHS:  Deaths,Blue,
DEATHTRPV,110,2,Demography,Demography: Mortality,1,Variable,DEATHTRPV:  Deaths from traffic per vehicle,Blue,
elendemict,244,7,Infrastructure,Infrastructure: Electricity,2,Parameter,elendemict:  Elasticity of energy demand to an ICT index,Brown,
deathtrpvsetar,112,2,Demography,Demography: Mortality,2,Parameter,deathtrpvsetar:  Number of Standard Errors to Target for Deaths from traffic per vehicle,Blue,
deathtrpvseyrtar,113,2,Demography,Demography: Mortality,2,Parameter,deathtrpvseyrtar:  Years to Target number of Standard Errors for Deaths from traffic per vehicle,Blue,
democconv,114,2,Demography,Demography: Mortality,2,Parameter,"democconv:  Democracy, convergence time to expected value",Blue,
DEMOCEXP,115,9,Sociopolitical,Sociopolitical: Polity,1,Variable,"DEMOCEXP:  Democracy, expected (no empirical prior) - Polity project measure  (higher is more democratic; 0-20)",drakgray,
democimpoth,116,9,Sociopolitical,Sociopolitical: Polity,2,Parameter,"democimpoth:  Democracy impetus from non-specific forces, 1-10 (10=most); Polity scale",drakgray,
democimpus,117,9,Sociopolitical,Sociopolitical: Polity,2,Parameter,"democimpus:  Democracy impetus by the US/other leadership, 1-10 (10=most); Polity scale",drakgray,
democimpusn,118,9,Sociopolitical,Sociopolitical: Polity,2,Parameter,"democimpusn:  Democracy impetus from US, neutral level, 1-10 (10=most); Polity scale",drakgray,
democm,119,9,Sociopolitical,Sociopolitical: Polity,2,Parameter,democm:  Democracy multiplier,drakgray,
DEMOCPOLITY,120,9,Sociopolitical,Sociopolitical: Polity,1,Variable,"DEMOCPOLITY:  Democracy, Polity index  (Range: 0-20; higher is better)",drakgray,
democpolitysetar,121,9,Sociopolitical,Sociopolitical: Polity,2,Parameter,democpolitysetar:  Number of Standard Errors to Target for Polity Democracy Index,drakgray,
democpolityseyrtar,122,9,Sociopolitical,Sociopolitical: Polity,2,Parameter,democpolityseyrtar:  Years to Target number of Standard Errors for Polity Democracy Index,drakgray,
DEMOCWAVE,123,9,Sociopolitical,Sociopolitical: Polity,1,Variable,DEMOCWAVE:  Democracy wave value in Polity scale points,drakgray,
DEMOCWVCOUNT,124,9,Sociopolitical,Sociopolitical: Polity,1,Variable,DEMOCWVCOUNT:  Democracy wave counter: years current wave direction has been running,drakgray,
DEMOCWVDIR,125,9,Sociopolitical,Sociopolitical: Polity,1,Variable,"DEMOCWVDIR:  Democracy wave direction  (-1 down, 0 off, 1 up)",drakgray,
democwvlen,126,9,Sociopolitical,Sociopolitical: Polity,2,Parameter,democwvlen:  Democracy wave length in years (peak to trough/half-wave),drakgray,
democwvmax,127,9,Sociopolitical,Sociopolitical: Polity,2,Parameter,"democwvmax:  Democracy wave, maximum amplitude in Polity scale points",drakgray,
desald,1416,5,Water,Water: Desalination,2,Parameter,desald:  desalination responsiveness to change in price,cyan,
desali,1415,5,Water,Water: Desalination,2,Parameter,desali:  desalination responsiveness to change in stock levels of price,cyan,
diplodistancetoeu,128,8,Interstate,Interstate: Distance,2,Parameter,diplodistancetoeu:  Distance to Europe,Azure,
DIPLOEMBASSY,129,8,Interstate,"Interstate: Embassies,IGO and INGOs",1,Variable,DIPLOEMBASSY:  Number of Embassies that a country has in other countries in a given year (LoR method),Azure,
DIPLOEMBASSYMAX,130,8,Interstate,"Interstate: Embassies,IGO and INGOs",1,Variable,DIPLOEMBASSYMAX:  Maximum Number of Embassies that a country can have in other countries in a given year,Azure,
diploembassymaxm,131,8,Interstate,"Interstate: Embassies,IGO and INGOs",2,Parameter,diploembassymaxm:  Multiplier on Max Number of Embassies that a country can have in other countries in a given year,Azure,
DIPLOIGO,132,8,Interstate,"Interstate: Embassies,IGO and INGOs",1,Variable,DIPLOIGO:  Weighted Number of Intergovernmental Organizations that a country belongs in a given year,Azure,
DIPLOIGOMAX,133,8,Interstate,"Interstate: Embassies,IGO and INGOs",1,Variable,DIPLOIGOMAX:  Max Weighted Number of Intergovernmental Organizations that a country belongs in a given year,Azure,
diploigomaxm,134,8,Interstate,"Interstate: Embassies,IGO and INGOs",2,Parameter,diploigomaxm:  Multiplier on Max Weighted Number of IGOs that a country belongs in a given year,Azure,
DIPLOINGOADVOCACY,1284,8,Interstate,"Interstate: Embassies,IGO and INGOs",1,Variable,"DIPLOINGOADVOCACY:  The number of advocacy INGOs operating in, on or about a country.",Azure,
diploingoadvocacyconv,1285,8,Interstate,"Interstate: Embassies,IGO and INGOs",2,Parameter,"diploingoadvocacyconv:  Convergence years  on the number of advocacy INGOs operating in, on or about a country.",Azure,
diploingoadvocacym,1286,8,Interstate,"Interstate: Embassies,IGO and INGOs",2,Parameter,"diploingoadvocacym:  Multiplier on the number of advocacy INGOs operating in, on or about a country.",Azure,
DIPLOINGOPROGRAM,1287,8,Interstate,"Interstate: Embassies,IGO and INGOs",1,Variable,"DIPLOINGOPROGRAM:  The number of programmatic INGOs operating in, on or about a country.",Azure,
diploingoprogramconv,1288,8,Interstate,"Interstate: Embassies,IGO and INGOs",2,Parameter,"diploingoprogramconv:  Convergence years on the number of programmatic INGOs operating in, on or about a country.",Azure,
diploingoprogramm,1289,8,Interstate,"Interstate: Embassies,IGO and INGOs",2,Parameter,"diploingoprogramm:  Multiplier on the number of programmatic INGOs operating in, on or about a country.",Azure,
DIPLOTREATY,135,8,Interstate,Interstate: Treaties,1,Variable,DIPLOTREATY:  Weighted Number of Treaties that a country has signed (1) or ratified (2) in a given year,Azure,
DIPLOTREATYMAX,136,8,Interstate,Interstate: Treaties,1,Variable,DIPLOTREATYMAX:  Maximum Weighted Number of Treaties that a country can sign (1) or ratify (2) in a given year,Azure,
diplotreatymaxm,137,8,Interstate,Interstate: Treaties,2,Parameter,diplotreatymaxm:  Multiplier on Max Weighted Number of Treaties that a country can sign (1) or ratify (2) in a given year,Azure,
dkl,138,1,Agriculture,Agriculture: Investment,2,Parameter,dkl:  Depreciation coefficient for agricultural land investment,Red,
drcpow,139,8,Interstate,Interstate: Power,2,Parameter,drcpow:  Depreciation rate of conventional power,Azure,
drnpow,140,8,Interstate,Interstate: Power,2,Parameter,drnpow:  Depreciation rate of nuclear power,Azure,
elenrenict,251,11,Infrastructure,Infrastructure: Electricity,2,Parameter,elenrenict:  Elasticity of energy renewable with ICT,Brown,
elglinpr,261,11,Agriculture,Agriculture: Resources,2,Parameter,elglinpr:  Elasticity of livestock grazing intensity to prices,Red,
DRUGUSEAMPHETAMINE,1417,2,Sociopolitical,Sociopolitical: Drug Demand,1,Variable,DRUGUSEAMPHETAMINE:  Amphetamines drug use,drakgray,
DRUGUSECOCAINE,1418,2,Sociopolitical,Sociopolitical: Drug Demand,1,Variable,DRUGUSECOCAINE:  Cocaine drug use,drakgray,
ENSOLFUEL,314,11,Environment,Environment: Soild Fuels,1,Variable,ENSOLFUEL:  Population% that relies on solid fuels as the primary source of domestic energy for cooking and heating,Grey,
DRUGUSEOPIATES,1419,2,Sociopolitical,Sociopolitical: Drug Demand,1,Variable,DRUGUSEOPIATES:  Opiate drug use,drakgray,
ensolfuelm,315,11,Environment,Environment: Soild Fuels,2,Parameter,ensolfuelm:  Solid Fuel use multiplier,Grey,
ensolfuelsetar,316,11,Environment,Environment: Soild Fuels,2,Parameter,"ensolfuelsetar:  Infrastructure, Solid Fuel Use, standard error target",Grey,
DRUGUSEPRESCRIPTOPIOID,1420,2,Sociopolitical,Sociopolitical: Drug Demand,1,Variable,DRUGUSEPRESCRIPTOPIOID:  Prescription opioid use,drakgray,
ensolfuelseyrtar,317,11,Environment,Environment: Soild Fuels,2,Parameter,"ensolfuelseyrtar:  Infrastructure, Solid Fuel Use, years to target standard error",Grey,
dstl,141,3,Economy,Economy: Stocks,2,Parameter,dstl:  Desired stock (inventory) level in the economy,Green,
dstlen,142,5,Water,Water: Desalination,2,Parameter,dstlen:  Desired energy stock level as portion of stock base,cyan,
ECONFREE,143,9,Sociopolitical,Sociopolitical: Economic Freedom,1,Variable,"ECONFREE:  Economic freedom, Fraser Institute/Econ Freedom Network freedom indicator (higher more free)",drakgray,
econfreem,144,9,Sociopolitical,Sociopolitical: Economic Freedom,2,Parameter,econfreem:  Economic freedom multiplier,drakgray,
ensolfueltrgtval,318,11,Environment,Environment: Soild Fuels,2,Parameter,ensolfueltrgtval:  Solid Fuel Use Elimination Target Value,Grey,
EDBASENRG,146,4,Education,Education: Enrollment,1,Variable,"EDBASENRG:  Education, basic education (upto lower secondary), enrollment rate, gross",Yellow,
ensolfueltrgtyr,319,11,Environment,Environment: Soild Fuels,2,Parameter,ensolfueltrgtyr:  Solid Fuel Use Elimination Target Year (number of years from starting point),Grey,
EDEXPERPRI,148,4,Education,Education: Expenditure,1,Variable,EDEXPERPRI:  Educational expenditures per primary student as a % of GDPPC,Yellow,
edexperprim,1482,4,Education,Education: Expenditure,2,Parameter,edexperprim:  Multiplier on expenditure per primary student,Yellow,
EDEXPERSEC,149,4,Education,Education: Expenditure,1,Variable,EDEXPERSEC:  Educational expenditures per secondary student as a % of GDPPC,Yellow,
EDEXPERSECLOWR,150,4,Education,Education: Expenditure,1,Variable,EDEXPERSECLOWR:  Educational expenditures per lower secondary student as a % of GDPPC,Yellow,
edexperseclowrm,1483,4,Education,Education: Expenditure,2,Parameter,edexperseclowrm:  Multiplier on expenditure per lower secondary student,Yellow,
EDEXPERSECUPPR,151,4,Education,Education: Expenditure,1,Variable,EDEXPERSECUPPR:  Educational expenditures per upper secondary student as a % of GDPPC,Yellow,
edexpersecupprm,1484,4,Education,Education: Expenditure,2,Parameter,edexpersecupprm:  Multiplier on expenditure per upper secondary student,Yellow,
EDEXPERTER,152,4,Education,Education: Expenditure,1,Variable,EDEXPERTER:  Educational expenditures per tertiary student as a % of GDPPC,Yellow,
edexperterm,1485,4,Education,Education: Expenditure,2,Parameter,edexperterm:  Multiplier on expenditure per tertiary student,Yellow,
edexppconv,153,4,Education,Education: Expenditure,2,Parameter,edexppconv:  Education pri expenditure per student as % of gdppc convergence time to function,Yellow,
edexpslconv,154,4,Education,Education: Expenditure,2,Parameter,edexpslconv:  Education Secondary Lower expenditure per student as % of gdppc convergence time to function,Yellow,
edexpsuconv,155,4,Education,Education: Expenditure,2,Parameter,edexpsuconv:  Education Secondary Upper expenditure per student as % of gdppc convergence time to function,Yellow,
edexptconv,156,4,Education,Education: Expenditure,2,Parameter,edexptconv:  Education ter expenditure per student as % of gdppc convergence time to function,Yellow,
edpricostadjrural,158,4,Education,Education: Expenditure,2,Parameter,"edpricostadjrural:  Education primary, adjustment in per student expenditure for rural areas",Yellow,
EDPRICR,159,4,Education,Education: Completion,1,Variable,"EDPRICR:  Education, primary, completion rate, gross",Yellow,
EDPRIENRG,160,4,Education,Education: Enrollment,1,Variable,"EDPRIENRG:  Education, primary, enrollment rate, gross",Yellow,
EDPRIENRN,161,4,Education,Education: Enrollment,1,Variable,"EDPRIENRN:  Education, primary, enrollment rate, net",Yellow,
edprigoalexper,164,4,Education,Education: Expenditure,2,Parameter,"edprigoalexper:  Education, primary, per student expenditure goal",Yellow,
edprigoalexperon,165,4,Education,Education: Expenditure,2,Parameter,"edprigoalexperon:  Education, primary, normative goal seek, per student expenditure (1=On, 0=Off)",Yellow,
EDPRIGRADS,166,4,Education,Education: Graduation,1,Variable,"EDPRIGRADS:  Education, primary, number of graduates, gross",Yellow,
EDPRIINT,167,4,Education,Education: Intake,1,Variable,"EDPRIINT:  Education, primary, intake rate, gross or apparent, all entrants as % of entering age children",Yellow,
EDPRIINTN,168,4,Education,Education: Intake,1,Variable,"EDPRIINTN:  Education, primary, intake rate adjusted net, entering age entrants (-1,0,+1) as % of entering age children",Yellow,
edpriintngr,169,4,Education,Education: Intake,2,Parameter,"edpriintngr:  Education, primary, net intake rate, annual growth rate",Yellow,
ENVYLCHG,328,11,Environment,Environment: Climate change,1,Variable,ENVYLCHG:  Agricultural Annual Yield Change,Grey,
edprilen,170,4,Education,Education: Intake,2,Parameter,"edprilen:  Education, primary, duration of primary",Yellow,
